sid,kind,density,direction,phase,ev_speed,queue,priority,loading,demand_vph,ev_speed_ms,audio_clip,note
C01,core,very_low,N2S,ev_green,low,short,ambulance,balanced,180,8.0,siren_heldout,
C02,core,very_low,N2S,ev_red,medium,medium,fire,balanced,180,13.0,siren_heldout,
C03,core,very_low,N2S,conflicting_green,high,long,police,balanced,180,18.0,siren_heldout,
C04,core,very_low,S2N,ev_green,medium,long,fire,heavy_ev,180,13.0,siren_heldout,
C05,core,very_low,S2N,ev_red,high,short,police,heavy_ev,180,18.0,siren_heldout,
C06,core,very_low,S2N,conflicting_green,low,medium,ambulance,heavy_ev,180,8.0,siren_heldout,
C07,core,very_low,E2W,ev_green,high,medium,police,heavy_conflicting,180,18.0,siren_heldout,
C08,core,very_low,E2W,ev_red,low,long,ambulance,heavy_conflicting,180,8.0,siren_heldout,
C09,core,very_low,E2W,conflicting_green,medium,short,fire,heavy_conflicting,180,13.0,siren_heldout,
C10,core,very_low,W2E,ev_green,low,short,ambulance,heavy_all,180,8.0,siren_heldout,
C11,core,very_low,W2E,ev_red,medium,medium,fire,heavy_all,180,13.0,siren_heldout,
C12,core,very_low,W2E,conflicting_green,high,long,police,heavy_all,180,18.0,siren_heldout,
C13,core,low,N2S,ev_green,medium,medium,police,heavy_ev,360,13.0,siren_heldout,
C14,core,low,N2S,ev_red,high,long,ambulance,heavy_ev,360,18.0,siren_heldout,
C15,core,low,N2S,conflicting_green,low,short,fire,heavy_ev,360,8.0,siren_heldout,
C16,core,low,S2N,ev_green,high,short,ambulance,heavy_conflicting,360,18.0,siren_heldout,
C17,core,low,S2N,ev_red,low,medium,fire,heavy_conflicting,360,8.0,siren_heldout,
C18,core,low,S2N,conflicting_green,medium,long,police,heavy_conflicting,360,13.0,siren_heldout,
C19,core,low,E2W,ev_green,low,long,fire,heavy_all,360,8.0,siren_heldout,
C20,core,low,E2W,ev_red,medium,short,police,heavy_all,360,13.0,siren_heldout,
C21,core,low,E2W,conflicting_green,high,medium,ambulance,heavy_all,360,18.0,siren_heldout,
C22,core,low,W2E,ev_green,medium,medium,police,balanced,360,13.0,siren_heldout,
C23,core,low,W2E,ev_red,high,long,ambulance,balanced,360,18.0,siren_heldout,
C24,core,low,W2E,conflicting_green,low,short,fire,balanced,360,8.0,siren_heldout,
C25,core,medium,N2S,ev_green,high,long,fire,heavy_conflicting,620,18.0,siren_heldout,
C26,core,medium,N2S,ev_red,low,short,police,heavy_conflicting,620,8.0,siren_heldout,
C27,core,medium,N2S,conflicting_green,medium,medium,ambulance,heavy_conflicting,620,13.0,siren_heldout,
C28,core,medium,S2N,ev_green,low,medium,police,heavy_all,620,8.0,siren_heldout,
C29,core,medium,S2N,ev_red,medium,long,ambulance,heavy_all,620,13.0,siren_heldout,
C30,core,medium,S2N,conflicting_green,high,short,fire,heavy_all,620,18.0,siren_heldout,
C31,core,medium,E2W,ev_green,medium,short,ambulance,balanced,620,13.0,siren_heldout,
C32,core,medium,E2W,ev_red,high,medium,fire,balanced,620,18.0,siren_heldout,
C33,core,medium,E2W,conflicting_green,low,long,police,balanced,620,8.0,siren_heldout,
C34,core,medium,W2E,ev_green,high,long,fire,heavy_ev,620,18.0,siren_heldout,
C35,core,medium,W2E,ev_red,low,short,police,heavy_ev,620,8.0,siren_heldout,
C36,core,medium,W2E,conflicting_green,medium,medium,ambulance,heavy_ev,620,13.0,siren_heldout,
C37,core,high,N2S,ev_green,low,short,ambulance,heavy_all,900,8.0,siren_heldout,
C38,core,high,N2S,ev_red,medium,medium,fire,heavy_all,900,13.0,siren_heldout,
C39,core,high,N2S,conflicting_green,high,long,police,heavy_all,900,18.0,siren_heldout,
C40,core,high,S2N,ev_green,medium,long,fire,balanced,900,13.0,siren_heldout,
C41,core,high,S2N,ev_red,high,short,police,balanced,900,18.0,siren_heldout,
C42,core,high,S2N,conflicting_green,low,medium,ambulance,balanced,900,8.0,siren_heldout,
C43,core,high,E2W,ev_green,high,medium,police,heavy_ev,900,18.0,siren_heldout,
C44,core,high,E2W,ev_red,low,long,ambulance,heavy_ev,900,8.0,siren_heldout,
C45,core,high,E2W,conflicting_green,medium,short,fire,heavy_ev,900,13.0,siren_heldout,
C46,core,high,W2E,ev_green,low,short,ambulance,heavy_conflicting,900,8.0,siren_heldout,
C47,core,high,W2E,ev_red,medium,medium,fire,heavy_conflicting,900,13.0,siren_heldout,
C48,core,high,W2E,conflicting_green,high,long,police,heavy_conflicting,900,18.0,siren_heldout,
C49,core,very_high,N2S,ev_green,medium,medium,police,balanced,1200,13.0,siren_heldout,
C50,core,very_high,N2S,ev_red,high,long,ambulance,balanced,1200,18.0,siren_heldout,
C51,core,very_high,N2S,conflicting_green,low,short,fire,balanced,1200,8.0,siren_heldout,
C52,core,very_high,S2N,ev_green,high,short,ambulance,heavy_ev,1200,18.0,siren_heldout,
